"Name","Company","State","City","Salary","Location","Url"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=973412&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6022fede&cb=1587655232418&jobListingId=3558346901"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=4341&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_40007513&cb=1587655232420&jobListingId=3048038544"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=900867&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_12f3e47d&cb=1587655232421&jobListingId=3490390663"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_564586dd&cb=1587655232423&jobListingId=3507222416"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_63ea33f1&cb=1587655232424&jobListingId=3436864965"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=148364&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_168b191b&cb=1587655232425&jobListingId=3503819567"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=371690&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_89c6e988&cb=1587655232427&jobListingId=3548564458"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=4120&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_212465d1&cb=1587655232428&jobListingId=3309378465"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c6bd82a5&cb=1587655232429&jobListingId=3418411502"
"Machine Learning Engineer","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=878128&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4475f81b&cb=1587655232430&jobListingId=3553858493"
"Digital Transformation Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=196027&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_04765305&cb=1587655232432&jobListingId=3542546389"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4128&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9c5d12f7&cb=1587655232433&jobListingId=3456436153"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_dcac5c5e&cb=1587655232434&jobListingId=3254148458"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d93b1d8a&cb=1587655232435&jobListingId=3293836697"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_985faee7&cb=1587655232436&jobListingId=3478243194"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=37049&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7a119ee7&cb=1587655232438&jobListingId=3490362135"
"Data Scientist (SQL, Python, Statistics and Machine Learning)","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_07e69b21&cb=1587655232439&jobListingId=3550339503"
"Digital Transformation Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=191997&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4d611a06&cb=1587655232440&jobListingId=3542576135"
"Data Engineer","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=972624&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3d65c1b7&cb=1587655232441&jobListingId=3495140455"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=478887&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9a5010b3&cb=1587655232443&jobListingId=3346648744"
"Data Scientist","","","Pune","","Pune","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=437149&s=58&guid=00000171a7a049d382ac99d9a64d523d&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_af085ab6&cb=1587655232444&jobListingId=3230618980"
