,PostOfficeName,Pincode,DistrictsName,City,State
0,Aberdeen Bazar,744104.0,A&N Islands,Port Blair,Andaman Nicobar
1,Bakultala,744208.0,A&N Islands,Port Blair,Andaman Nicobar
2,Bambooflat,744107.0,A&N Islands,Port Blair,Andaman Nicobar
3,Betapur,744201.0,A&N Islands,Port Blair,Andaman Nicobar
4,Campbell Bay,744302.0,A&N Islands,Port Blair,Andaman Nicobar
5,Car Nicobar,744301.0,Car Nicobar,Car Nicobar,Andaman Nicobar
6,Diglipur,744202.0,A&N Islands,Port Blair,Andaman Nicobar
7,Haddo,744102.0,A&N Islands,Port Blair,Andaman Nicobar
8,Havelock,744211.0,A&N Islands,Port Blair,Andaman Nicobar
9,Hut Bay,744207.0,A&N Islands,Port Blair,Andaman Nicobar
10,Jangli Ghat,744103.0,A&N Islands,Port Blair,Andaman Nicobar
11,Kadamtala A & N,744209.0,A&N Islands,Port Blair,Andaman Nicobar
12,Kapanga,744304.0,A&N Islands,Port Blair,Andaman Nicobar
13,Long Island,744203.0,A&N Islands,Port Blair,Andaman Nicobar
14,Marine Jetty,744101.0,A&N Islands,Port Blair,Andaman Nicobar
15,Mayabunder,744204.0,A&N Islands,Port Blair,Andaman Nicobar
16,N S Building,744101.0,A&N Islands,Port Blair,Andaman Nicobar
17,Nancowrie,744303.0,A&N Islands,Port Blair,Andaman Nicobar
18,Neel Island,744104.0,A&N Islands,Port Blair,Andaman Nicobar
19,New Secretariate Bldg,744105.0,A&N Islands,Port Blair,Andaman Nicobar
20,Oralkatcha,744210.0,A&N Islands,Port Blair,Andaman Nicobar
21,Port Blair,744101.0,A&N Islands,Port Blair,Andaman Nicobar
22,Ranghat,744205.0,A&N Islands,Port Blair,Andaman Nicobar
23,Shadipur,744106.0,A&N Islands,Port Blair,Andaman Nicobar
24,Wimberlygunji,744206.0,A&N Islands,Port Blair,Andaman Nicobar
25,A C Nagar,524002.0,Nellore,Nellore,Andhra Pradesh
26,A C Palli,508207.0,Nalgonda,Nalgonda,Andhra Pradesh
27,A G M Colony,504251.0,Adilabad,Adilabad,Andhra Pradesh
28,A G'S Office,500463.0,Hyderabad,Hyderabad,Andhra Pradesh
29,A G'S Office Staff,500890.0,Hyderabad,Hyderabad,Andhra Pradesh
30,A M A L College,531001.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
31,A P E R L,500030.0,Hyderabad,Hyderabad,Andhra Pradesh
32,A P S E Board,500049.0,Hyderabad,Hyderabad,Andhra Pradesh
33,A Raichur,509343.0,Mahboobnagar,Mahboobnagar,Andhra Pradesh
34,A T Agraharam,522004.0,Guntur,Guntur,Andhra Pradesh
35,A T P Collectorate,515001.0,Anantapur,Anantapur,Andhra Pradesh
36,Aallagadda,518543.0,Kurnool,Kurnool,Andhra Pradesh
37,Abadi Ghanpur,506144.0,Warangal,Warangal,Andhra Pradesh
38,Abadi Ramagundam,505208.0,Karimnagar,Karimnagar,Andhra Pradesh
39,Abbinenigunta Palem,522015.0,Guntur,Guntur,Andhra Pradesh
40,Abburu,522403.0,Guntur,Guntur,Andhra Pradesh
41,Ac Guards,500004.0,Hyderabad,Hyderabad,Andhra Pradesh
42,Academy,500252.0,Hyderabad,Hyderabad,Andhra Pradesh
43,Achampet,509375.0,Mahboobnagar,Lingotam,Andhra Pradesh
44,Achanta,534123.0,West Godavari,Achanta,Andhra Pradesh
45,Achutapuram,531011.0,Vishakhapatnam,Vishakhapatnam,Andhra Pradesh
46,Adarsh Nagar,504001.0,Adilabad,Adilabad,Andhra Pradesh
